Question_Number,Question,Answer,Value
1,Name one branch or part of the government,United Nations,FALSE
,,Congress,TRUE
,,parliament,FALSE
,,state government,FALSE
2,Name one American Indian tribe in the United States,Celts,FALSE
,,Cherokee,TRUE
,,Zawi Chemi,FALSE
,,Slavs,FALSE
3,What is the name of the Speaker of the House of Representatives now?,Mike Pence,FALSE
,,Nancy Pelosi,TRUE
,,Chuck Schumer,FALSE
,,Donald Trump,FALSE
4,The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.,Thomas Jefferson,FALSE
,,James Madison,TRUE
,,George Washington,FALSE
,,John Adams,FALSE
5,What is one reason colonists came to America?,for the experience traveling across the ocean,FALSE
,,to join a civic group,FALSE
,,freedom,TRUE
,,none of the answers,FALSE
6,Why does the flag have 13 stripes?,because the stripes represent the number of signatures on the U.S. Constitution,FALSE
,,because it was considerd lucky to have 13 stripes on a flag,FALSE
,,because the stripes represent the original colonies,TRUE
,,because the stripes represent the members of the Second Continental Congress,FALSE
7,What are two ways that Americans can participate in their democrazy?,give an elected offiical your opinion on an issue and join a community group,FALSE
,,vote and join a civic group,FALSE
,,write to a newspaper and call Senators and Representatives,FALSE
,,all of these answers,TRUE
8,What stops one branch of government from becoming too powerful?,freedom of speech,FALSE
,,the people,FALSE
,,the President,FALSE
,,checks and balances,TRUE
9,"If the President can no longer serve, who becomes President?",the Vice President,TRUE
,,the President Pro Tempore,FALSE
,,the Speaker of the House,FALSE
,,the Sectretary of State,FALSE
10,Name one war fought by the United States in the 1900s,Revolutionary War,FALSE
,,World War I,TRUE
,,War of 1812,FALSE
,,Civil War,FALSE
11,What does the Constitution do?,sets up the government,FALSE
,,defines the government,FALSE
,,protects basic rights of Americans,FALSE
,,all of these answers,TRUE
12,"What is the ""rule of law""?",All laws must be the same in every state.,FALSE
,,Everyone but the President must follow the law.,FALSE
,,Everyone must follow the law.,TRUE
,,Government does not have to follow the law.,FALSE
13,What territory did the United States buy from France in 1803?,the Louisiana Territory,TRUE
,,Quebec,FALSE
,,Hawaii,FALSE
,,Alaska,FALSE
14,What movement tried to end racial discrimination?,women's suffrage,FALSE
,,civil rights movement,TRUE
,,conservation,FALSE
,,prohibition,FALSE
15,What are two rights of everyone living in the United States?,freedom to petition the government and freedom to obey traffic laws,FALSE
,,freedom of speech and freedom to run for president,FALSE
,,freedom of religion and freedom to make treaties with other countries,FALSE
,,freedom of speech and freedom of religion,TRUE
16,Who is the Commander in Chief of the military?,the Vice President,FALSE
,,the Secretary of Defense,FALSE
,,the President,TRUE
,,the Attorney General,FALSE
17,What do we show loyalty to when we say the Pledge of Allegiance?,the United States,TRUE
,,the President,FALSE
,,the state where you live,FALSE
,,Congress,FALSE
18,What was one important thing that Abraham Lincoln did?,purchased Alaska,FALSE
,,established the United Nations,FALSE
,,saved (or preserved) the Union,TRUE
,,declared war on Great Britain,FALSE
19,What does the President's Cabinet do?,commands the U.S. Armed Forces,FALSE
,,makes laws,FALSE
,,advises the President,TRUE
,,all of these answers,FALSE
20,We elect a U.S. Representative for how many years?,eight (8),FALSE
,,six (6),FALSE
,,two (2),TRUE
,,four (4),FALSE
